species,file,n,aba_obs,aba_z,aba_p,tail_obs,tail_z,tail_p,bound_rho,bound_z,bound_p,clade,learning_category
Zenaida_macroura,XC940517_-_Mourning_Dove_-_Zen,31,,-0.4583928860348153,0.7296351824087957,,2.4466309270780533,0.0239880059970015,,0.2135359453084427,0.4247876061969015,bird,nonlearner
Zenaida_macroura,XC940522_-_Mourning_Dove_-_Zen,28,,-1.1514175061389882,0.9245377311344328,,1.1597696512713795,0.1789105447276361,,-1.4398275860281984,0.9250374812593704,bird,nonlearner
Zenaida_macroura,XC638304_-_Mourning_Dove_-_Zen,25,,0.0329832941379063,0.5582208895552224,,-0.8109416981079027,0.8545727136431784,,-0.2170439835937446,0.5902048975512244,bird,nonlearner
Coturnix_japonica,XC913389_-_Japanese_Quail_-_Co,47,,-2.1706138921122773,0.9970014992503748,,3.4905247737171985,0.000999500249875,,0.920372621426005,0.1914042978510744,bird,nonlearner
Coturnix_japonica,XC329204_-_Japanese_Quail_-_Co,29,,-1.225701905480568,0.934032983508246,,-1.147681789870808,0.9415292353823088,,0.2768401855159709,0.3998000999500249,bird,nonlearner
Coturnix_japonica,XC527210_-_Japanese_Quail_-_Co,27,,-2.467564217073788,1.0,,1.1532943498831498,0.1724137931034483,,-0.0673736337505235,0.5247376311844077,bird,nonlearner
Emballonura_monticola,A000939_YLLKZNQQGG.WAV,152,,-3.4002303882989744,1.0,,8.541661039101989,0.0004997501249375,,1.8739700933366408,0.0309845077461269,bat,unclassified
Emballonura_monticola,A000937_INEJWEGUFO.WAV,88,,0.8484246305154818,0.2208895552223888,,2.378733172492977,0.0189905047476261,,-3.16028220653892,0.9995002498750624,bat,unclassified
Emballonura_monticola,A000938_ZSJCYEKAFH.WAV,61,,0.5796378555887577,0.3303348325837081,,2.166901849729178,0.0344827586206896,,-1.9716399896848635,0.967016491754123,bat,unclassified
Emballonura_monticola,A000936_JOJJAOFTTK.WAV,52,,-0.9031514653253688,0.863568215892054,,4.866525703535807,0.0004997501249375,,0.5295302259011292,0.297351324337831,bat,unclassified
Rousettus_aegyptiacus,1788441079724_1306121932259045,209,,1.8663838452237391,0.04047976011994,,3.975292027352503,0.0004997501249375,,0.5318547163475452,0.2953523238380809,bat,production_learner_candidate
Rousettus_aegyptiacus,1788441079724_1306110629485861,55,,-0.239254877221779,0.6416791604197901,,1.6140649924762585,0.0819590204897551,,1.6877639453914823,0.0514742628685657,bat,production_learner_candidate
Rousettus_aegyptiacus,1788441079724_1306091925412345,52,,-0.6617588358011093,0.7841079460269865,,-0.4381162221441035,0.712143928035982,,-2.6045053864672663,0.9950024987506249,bat,production_learner_candidate
Rousettus_aegyptiacus,1788441079724_1306100031198081,48,,-1.62427592983767,0.9720139930034982,,0.4303970900255357,0.3588205897051474,,-1.3335799716572754,0.904047976011994,bat,production_learner_candidate
Carrion_Crow,XC458184_-_Carrion_Crow_-_Corv,22,,-1.2119158353081945,0.9395302348825588,,-1.0153330596581776,0.9250374812593704,,0.3008439990464972,0.3943028485757121,bird,usage_learner
Carrion_Crow,XC466390_-_Carrion_Crow_-_Corv,16,,-0.6353412241280523,0.8115942028985508,,0.6177184610310519,0.3578210894552723,,,0.2243878060969515,bird,usage_learner
Carrion_Crow,XC977166_-_Carrion_Crow_-_Corv,15,,0.5397450689205684,0.3683158420789605,,-0.3547765904149679,0.7316341829085458,,,0.4617691154422789,bird,usage_learner
Human_beatbox,P18_Improvisation_Personal.wav,116,,-0.4361355922100889,0.7041479260369815,,0.8970877240295098,0.2083958020989505,,0.8431635394886984,0.2018990504747626,primate,production_learner
Human_beatbox,P16_Improvisation_Personal.wav,73,,0.3158818383118776,0.4157921039480259,,-0.4957123122317374,0.7341329335332334,,-0.0290673596513685,0.5077461269365318,primate,production_learner
Human_beatbox,1788446465144_P3_Improvisation,45,,0.6913000570795922,0.2923538230884557,,-0.4746605357120525,0.7336331834082959,,0.0513677029179895,0.47976011994003,primate,production_learner
Human_beatbox,1788446465145_P6_Improvisation,45,,-1.5340970888464147,0.9625187406296852,,2.300366737351732,0.0229885057471264,,0.2365393584105905,0.4117941029485257,primate,production_learner
Contopus_virens,XC563447_-_Eastern_Wood_Pewee_-_Contopus_virens.wav,29,,0.5705302400794982,0.3503248375812094,,-1.0517057500503413,0.9060469765117442,,-0.0464875010223432,0.5262368815592204,bird,nonlearner
Contopus_virens,XC429616_-_Eastern_Wood_Pewee_-_Contopus_virens.wav,18,,-0.8084403856340103,0.8685657171414293,,1.0155145127208416,0.2153923038480759,,,0.9940029985007496,bird,nonlearner
Contopus_virens,XC1037302_-_Eastern_Wood_Pewee_-_Contopus_virens.wav,15,,0.7126345701420889,0.3153423288355822,,0.4724660605742909,0.4127936031984008,,,0.567216391804098,bird,nonlearner
Emballonura_alecto,A006151_HPVJUOTMMR.WAV,216,,0.1988106927266293,0.9180409795102448,,-0.4969011103636217,1.0,,0.7846516023078378,0.2328835582208895,bat,unclassified
Emballonura_alecto,A003557_TEOZJMPDVN.WAV,120,,-3.5212432966493434,1.0,,7.577787574686598,0.0004997501249375,,1.0274624279356608,0.1499250374812593,bat,unclassified
Screaming_Piha,XC241664_-_Screaming_Piha_-_Lipaugus_vociferans.wav,25,,1.2308297940947934,0.1749125437281359,,-1.0971821599699767,0.9030484757621188,,,0.6086956521739131,bird,nonlearner
Taeniopygia_guttata,1788461048072_g4p5U-f00049.wav,54,,-0.4806033306593859,0.7271364317841079,,-0.8706792407492316,0.8580709645177411,,-2.257485232992176,0.9865067466266868,bird,production_learner
Taeniopygia_guttata,1788461048072_g4p5U-f00247.wav,35,,-0.5193076173041263,0.7521239380309845,,0.7621623783067617,0.2723638180909545,,1.1505086915838787,0.1324337831084457,bird,production_learner
Taeniopygia_guttata,1788461048072_g4p5U-f00205.wav,28,,-0.3483426602138763,0.6926536731634183,,-0.8177582938874824,0.8775612193903048,,0.8267110462491798,0.2103948025987006,bird,production_learner
Taeniopygia_guttata,1788450672603_g4p5U-f00011.wav,27,,-0.2527976383035676,0.6646676661669165,,-1.0924234419124583,0.9300349825087456,,0.3981623964022739,0.3523238380809595,bird,production_learner
Taeniopygia_guttata,1788461048072_g4p5U-f01273.wav,27,,0.5806882036490106,0.336831584207896,,-0.6605424394054273,0.8050974512743628,,-0.2224755290989147,0.5872063968015993,bird,production_learner
Taeniopygia_guttata,1788461048072_g4p5U-f00165.wav,26,,0.7617728381109248,0.2853573213393303,,0.8815502491344732,0.2498750624687656,,0.7062678222811093,0.2418790604697651,bird,production_learner
Taeniopygia_guttata,1788450672603_g4p5U-f00031.wav,23,,-0.7811859634319485,0.8455772113943029,,-0.0603120729047489,0.5787106446776612,,-1.0045729860312758,0.8320839580209896,bird,production_learner
Cercopithecus_diana,XC960202_-_Diana_Monkey_-_Cercopithecus_diana.wav,30,,-1.2231498282738065,0.9375312343828086,,-1.6030085608276254,0.9805097451274364,,0.2235683161845834,0.4182908545727136,primate,nonlearner
Macaca_cyclopis,XC1045268_-_Taiwanese_Macaque_-_Macaca_cyclopis.wav,33,,-1.503978939231827,0.968015992003998,,4.384348321794523,0.000999500249875,,0.6934082788637681,0.2468765617191404,primate,nonlearner
Macaca_cyclopis,XC1045270_-_Taiwanese_Macaque_-_Macaca_cyclopis.wav,19,,-0.0654938912229768,0.5767116441779111,,1.1672997881027822,0.1909045477261369,,0.2704166990832426,0.409295352323838,primate,nonlearner
Macaca_cyclopis,XC1045271_-_Taiwanese_Macaque_-_Macaca_cyclopis.wav,19,,-0.396231811691959,0.7266366816591704,,-1.1132862353462711,1.0,,-0.460388693609782,0.6666666666666666,primate,nonlearner
Macaca_fascicularis,XC1031578_-_Long-tailed_Macaque_-_Macaca_fascicularis.wav,29,,-0.2379413815028575,0.6501749125437282,,1.3012541947835887,0.1419290354822588,,-1.821393824681356,0.9690154922538732,primate,nonlearner
Pongo_pygmaeus,XC1097762_-_Bornean_Orangutan_-_Pongo_pygmaeus.wav,51,,0.3378183047408952,0.4077961019490255,,-0.4358485834371954,0.7266366816591704,,-0.4686171737249701,0.6731634182908546,primate,nonlearner
Pongo_pygmaeus,XC959719_-_Bornean_Orangutan_-_Pongo_pygmaeus.wav,19,,-2.0135746095849654,1.0,,-0.6225758009196424,0.8205897051474262,,-0.5026957213232475,0.6851574212893553,primate,nonlearner
