file,species,onset,offset
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,8.535875,8.5435
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,8.630125,8.64
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,8.660625,8.67075
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,8.83675,8.846
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,9.131,9.137875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,9.246875,9.256125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,9.419625,9.426375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,9.526375,9.52825
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,9.584,9.5935
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,9.71525,9.72525
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,9.794,9.797
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,9.902875,9.906625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,9.98,9.9955
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.061,10.078125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.20975,10.214625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.26075,10.271375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.33575,10.3415
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.358375,10.367375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.4485,10.463875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.51975,10.52775
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.55225,10.56075
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.611125,10.619
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.629375,10.637625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.683625,10.69075
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.7885,10.79425
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.844125,10.8535
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.92675,10.931125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,10.9595,10.968375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.019875,11.02325
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.04025,11.049125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.059875,11.102875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.114625,11.1245
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.1735,11.181125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.24075,11.247375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.259375,11.26375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.288875,11.295125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.306125,11.315625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.342625,11.347125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.384,11.388625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.41925,11.545
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.56775,11.5745
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.667125,11.6765
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.693875,11.702125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.791375,11.797125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.814375,11.818
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.88275,11.908875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,11.936,11.943
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.0075,12.027125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.076,12.0815
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.092,12.100875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.135875,12.140875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.183125,12.188875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.228375,12.23725
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.28325,12.292
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.313625,12.32225
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.356,12.3635
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.56775,12.57775
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.59325,12.6025
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.655125,12.664375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.707625,12.715875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.908375,12.917875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,12.98675,12.994625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.011,13.019875
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.0815,13.08975
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.207875,13.217
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.3135,13.32125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.341625,13.35125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.43,13.4445
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.503375,13.509
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.545625,13.549625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.592625,13.602
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.699375,13.700625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.77425,13.78375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.806875,13.81825
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.83425,13.839
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.856875,13.865375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,13.96325,13.969125
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.02075,14.03025
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.071125,14.08025
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.103625,14.106
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.1845,14.18925
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.226625,14.2385
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.2795,14.287625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.407375,14.413375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.506,14.510375
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.564375,14.57275
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.628125,14.63475
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.789375,14.812625
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.932875,14.938
A006151_HPVJUOTMMR.WAV,Emballonura_alecto,14.95475,14.96475
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.00025,0.02425
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.054125,0.077
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.11025,0.134
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.15125,0.17525
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.198125,0.209125
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.232125,0.257125
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.278,0.330375
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.375,0.39925
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.442625,0.467625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.483375,0.502875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.52375,0.547625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.571125,0.5945
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.608375,0.6355
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.65125,0.70175
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.718625,0.738875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.764625,0.78575
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.815,0.838
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.866125,0.88925
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,0.94425,0.96725
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.036875,1.059625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.1255,1.152
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.197875,1.22325
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.282125,1.310125
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.437125,1.461375
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.5355,1.5525
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.62725,1.649625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.71225,1.731125
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.808375,1.8285
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,1.89525,1.9135
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.020875,2.0425
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.099,2.117625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.173375,2.194875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.246625,2.265625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.35275,2.375875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.427625,2.449
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.4785,2.4995
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.551375,2.57875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.612875,2.6405
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.725125,2.74975
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.7965,2.818625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.852,2.874625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.902125,2.925375
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.951125,2.975
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,2.9905,3.01725
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.05575,3.0805
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.132625,3.159875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.18825,3.20975
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.2475,3.2615
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.33,3.34775
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.40125,3.41575
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.445,3.464375
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.48875,3.519875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.534,3.574
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.592875,3.64125
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.658375,3.678
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.716125,3.736875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.791,3.811875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.850375,3.871875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,3.92525,3.946875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.0055,4.0285
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.092875,4.11875
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.181125,4.209625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.272875,4.291125
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.346875,4.365625
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.417875,4.438
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.48775,4.505125
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.567875,4.58275
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.636,4.6475
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.7155,4.72175
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,4.926875,4.9285
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,5.001375,5.00325
A003557_TEOZJMPDVN.WAV,Emballonura_alecto,5.0155,5.017375
